date,usd,eur
2024-01-01,89.50,97.20
2024-01-02,89.75,97.55
2024-01-03,90.10,98.10
2024-01-04,89.90,97.80
2024-01-05,90.30,98.40
2024-01-06,91.00,99.10
2024-01-07,90.85,98.90
2024-01-08,91.20,99.50
2024-01-09,91.50,99.80
2024-01-10,91.30,99.60
2024-01-11,92.00,100.40
2024-01-12,91.80,100.10
2024-01-13,92.30,100.70
2024-01-14,92.10,100.50
2024-01-15,91.60,100.00
2024-01-16,91.00,99.30
2024-01-17,90.50,98.70
2024-01-18,90.80,99.00
2024-01-19,91.10,99.40
2024-01-20,91.50,99.90
2024-01-21,92.00,100.50
2024-01-22,93.10,101.80
2024-01-23,93.50,102.30
2024-01-24,93.20,102.00
2024-01-25,92.80,101.50
2024-01-26,92.50,101.10
2024-01-27,92.10,100.70
2024-01-28,91.80,100.30
2024-01-29,92.20,100.80
2024-01-30,92.50,101.20
2024-01-31,93.00,101.90
